,D016_P,D017_P,D019_P,D021_P,D022_P,D023_P,D024_P,D025_P,D027_P,D028_P,D030_P,D032_P,D033_P,D037_P,D038_P,D039_P,D043_P,D044_P,D050_P,D053_P,D054_P,D055_P,D057_P,D060_P,D061_P,D062_P,D074_P,D099_P,D102_P,D103_P
D039_P,0.1218981696957716,0.09606046947734369,0.14982181877454256,0.14865798160601995,0.4072453606692994,0.3817911876236911,0.1951369980920668,0.1428613637618374,0.21937380719589092,0.11035071953747932,0.19343357396630806,0.37198512458192806,0.22608247449414667,0.4124758386613081,0.21065579836955525,1.0,0.24441860796517684,0.2433149681940031,0.12699950613123165,0.1992804640089971,0.2845384297252684,0.19456401075080015,0.14316009770268912,0.1600448065420991,0.4134686079148599,0.21865437802808316,0.17296144030588517,0.11785296557810525,0.35529035821872795,0.3831413995874549
D043_P,0.14232561420073864,0.18766110890571291,0.13875899653367466,0.16033977757319862,0.3004686645411413,0.4065962376230291,0.2385495972075636,0.16647370227804778,0.31623535708028894,0.15952195737431274,0.26659114557499325,0.2921104729994518,0.2799064044978656,0.41955176177076514,0.31358182916621746,0.24441860796517684,1.0,0.22451388529988778,0.14728709764890097,0.27564565597415497,0.29633730192171026,0.2492500706079444,0.2028722274622836,0.2088233576350227,0.34696655511037555,0.235523612617094,0.2655623379445275,0.11559230979771604,0.12709179298295037,0.3948876874432427
D044_P,0.10437652030814627,0.11157956527614206,0.1827111832889083,0.1591553946817569,0.545148268545391,0.5291293549992591,0.19985832465987075,0.13328102158839353,0.22696190404887037,0.1097359866732079,0.18831598798484145,0.46951041977594615,0.2031699884565278,0.5481841827969567,0.22588247758085034,0.2433149681940031,0.22451388529988778,1.0,0.14108009904655,0.19004140108589448,0.259422581755673,0.21655766907361018,0.15317041682100996,0.22528891237115795,0.4956042889411457,0.24626737830059808,0.1887946073658131,0.12823201413791663,0.5368100785399494,0.3156349322398036
D050_P,0.08347513182505065,0.05258149723193065,0.10593644569897483,0.12184497456673164,0.24247399918865847,0.15930088893854594,0.14075188045743486,0.10071242191569246,0.15954538429860338,0.07397195126628092,0.14314648758737714,0.1482341874866758,0.13327465334821448,0.20081237325238138,0.16708147275420795,0.12699950613123165,0.14728709764890097,0.14108009904655,1.0,0.12575179690271623,0.19113562843923593,0.14208945101180187,0.10255984143460069,0.144235726351119,-0.03178308911441532,0.16077813080617864,0.13809282703565404,0.10809952824588648,0.274820026187098,-0.06303786289847053
D053_P,0.09176741136264953,0.149136338532772,0.08811342377742179,0.1712938598614058,0.2901690255823892,0.3962813382192757,0.17725223662297185,0.0824367599378008,0.3406627773373815,0.11967269955891384,0.2056485122731314,0.26604382538131344,0.269659647079198,0.34817739851064355,0.27180050087212826,0.1992804640089971,0.27564565597415497,0.19004140108589448,0.12575179690271623,1.0,0.2960414179183706,0.2159663313057266,0.16434627544617197,0.2032048610231608,0.3952841169495424,0.2512755135593659,0.2915851054617767,0.11054171391697834,0.21537133631164534,0.3049988391372566
D054_P,0.16497971682077517,0.14591333609815846,0.1987622952337215,0.2459767391473303,0.4045158260717484,0.23105380058035047,0.278478987176112,0.13159539097646566,0.29097618747692894,0.15032630511819373,0.2801937663194806,0.35670772121071553,0.2747583630638234,0.3952975401917646,0.3321975956352725,0.2845384297252684,0.29633730192171026,0.259422581755673,0.19113562843923593,0.2960414179183706,1.0,0.25978268513017555,0.21597658854825388,0.24992102886805106,0.2219938782218618,0.33478599995564606,0.24903692936243044,0.2089255106603421,0.3044317361995797,0.4222543798346613
D055_P,0.11893519143220795,0.14309183240129256,0.1847463352438284,0.1502029557908692,0.33715019229758114,0.35131678526448756,0.1552751480810848,0.13119420856665076,0.2912768577389974,0.13305830374392155,0.21955961255562473,0.37656526526102824,0.22425834922992702,0.3539791002630977,0.27501344459533095,0.19456401075080015,0.2492500706079444,0.21655766907361018,0.14208945101180187,0.2159663313057266,0.25978268513017555,1.0,0.1969822762256812,0.2575921618603889,0.3704916651677254,0.25212661854129814,0.176869410250693,0.13172144468626,0.3703322256030104,0.3324332099291727
D057_P,0.14286450945896628,0.16393597168852747,0.12942543836941167,0.19524472797604583,0.4473966394412947,0.43465379028708667,0.17235786862997013,0.06609076039616847,0.2528761915084024,0.13325750861053348,0.20052016560755861,0.526642930942494,0.1401883712650162,0.48187728182824524,0.3046943323279005,0.14316009770268912,0.2028722274622836,0.15317041682100996,0.10255984143460069,0.16434627544617197,0.21597658854825388,0.1969822762256812,1.0,0.15063735354458038,0.447721422868997,0.22153514595258667,0.1769160740316548,0.13411098663597976,0.4700183804745918,0.40034260587599735
D060_P,0.11431117703856315,0.10644565059366742,0.19714038112636567,0.16620361199208272,0.3220130659065804,0.43088855906957274,0.19269712984098422,0.12329861587945733,0.20576933408869297,0.11081068184090441,0.21174224828044744,0.3032196974075982,0.2338068510160009,0.3976432618060845,0.22099805671357206,0.1600448065420991,0.2088233576350227,0.22528891237115795,0.144235726351119,0.2032048610231608,0.24992102886805106,0.2575921618603889,0.15063735354458038,1.0,0.354547527144817,0.24861010122578694,0.19972343741467544,0.12246091174836714,0.16792162627546656,0.43627512438236543
D061_P,0.4243946113709411,0.2665558320051532,0.39367256716287224,0.4330735251080118,0.4177059307673876,0.4640212658883634,0.37879298650751236,0.3906747981757117,0.3877866728860673,0.4201231186351512,0.4403962863629479,0.32205594781681984,0.4017591688208843,0.4504493919099804,0.49899844379559893,0.4134686079148599,0.34696655511037555,0.4956042889411457,-0.03178308911441532,0.3952841169495424,0.2219938782218618,0.3704916651677254,0.447721422868997,0.354547527144817,1.0,0.24419857852327975,0.2390088667459989,0.07279090975949325,0.3394913519068249,0.38586852767480934
D062_P,0.08230254833859717,0.1576002547698856,0.21214625604694828,0.2295090068412393,0.2246680218342679,0.35438928265409314,0.22722902315066582,0.10117405491529864,0.27307336434751545,0.11336349904910092,0.24812807628931594,0.1607936616049243,0.22097595647979515,0.292813537670884,0.28025081385722256,0.21865437802808316,0.235523612617094,0.24626737830059808,0.16077813080617864,0.2512755135593659,0.33478599995564606,0.25212661854129814,0.22153514595258667,0.24861010122578694,0.24419857852327975,1.0,0.25923874793930207,0.18267997122663368,0.032745623298540506,0.2620886302026619
D074_P,0.086712854717075,0.18144952632471217,0.10729032881773884,0.1348233116258984,0.24330459593602125,0.31367354298906863,0.19912081758853822,0.07698907909071503,0.28182556583796264,0.13510513239016958,0.21795127129004355,0.18945220954935119,0.23800572092823188,0.2861944929877257,0.23667325540696826,0.17296144030588517,0.2655623379445275,0.1887946073658131,0.13809282703565404,0.2915851054617767,0.24903692936243044,0.176869410250693,0.1769160740316548,0.19972343741467544,0.2390088667459989,0.25923874793930207,1.0,0.10566084717303359,0.1398329534306271,0.23910795065796603
D099_P,0.07340925820142041,0.0718766809262262,0.10726718733901328,0.12582495523949833,0.2406247918061713,0.16249304672820625,0.14458453079936434,0.060355598205718106,0.1320331456793691,0.0721183390075921,0.14439243571471622,0.2709477374393744,0.11471047244818174,0.35512773398527425,0.17351277925694825,0.11785296557810525,0.11559230979771604,0.12823201413791663,0.10809952824588648,0.11054171391697834,0.2089255106603421,0.13172144468626,0.13411098663597976,0.12246091174836714,0.07279090975949325,0.18267997122663368,0.10566084717303359,1.0,0.1783143772968651,-0.0027990849019840437
D102_P,0.41904374245733006,0.37974962067078694,0.5261757964634858,0.5405917082517583,0.3969502860484324,0.22890377843815557,0.339151824414921,0.3309160970195208,0.4519296684427649,0.559574630276581,0.39543532224060657,0.5247397697892964,0.432755197739584,0.35866736249900977,0.5578105459487958,0.35529035821872795,0.12709179298295037,0.5368100785399494,0.274820026187098,0.21537133631164534,0.3044317361995797,0.3703322256030104,0.4700183804745918,0.16792162627546656,0.3394913519068249,0.032745623298540506,0.1398329534306271,0.1783143772968651,1.0,0.277688274726756
D103_P,0.4664227471493215,0.4015314046239214,0.37470264819203236,0.38671093345341434,0.3504463449068407,0.42401970044664095,0.25744037795350516,0.43334772463439547,0.40247936255876887,0.44142650322142013,0.4202361286866071,0.3896950721956457,0.4184979496236636,0.46013300382433076,0.34887678803744127,0.3831413995874549,0.3948876874432427,0.3156349322398036,-0.06303786289847053,0.3049988391372566,0.4222543798346613,0.3324332099291727,0.40034260587599735,0.43627512438236543,0.38586852767480934,0.2620886302026619,0.23910795065796603,-0.0027990849019840437,0.277688274726756,1.0
